No,Name,City_One,City_Two,City_Three,Agriculture,Animals,Energy,Metals,Region,Adjacent Units
45,Red River Valley,Twin Cities,NA,NA,5,3,0,0,Greater Minnesota,"29, 32, 43, 44, 46"
46,Mesabi Range,Twin Cities,NA,NA,0,0,0,2,Greater Minnesota,"45, 47, 58"
47,Saint Croix River,Twin Cities,NA,NA,4,5,0,0,Greater Minnesota,"44, 46, 58, 56, 48"
48,Southern Drift Plains,Kansas City,NA,NA,5,4,0,0,Northern Illinois,"43, 47, 56, 49, 44"
49,Osage River,Kansas City,NA,NA,3,4,2,0,Northern Illinois,"48, 56, 63, 55, 50"
50,Ozark Plateau,Kansas City,NA,NA,0,4,0,2,Greater Arkansas,"41, 42, 49, 55, 51"
51,Ouachita Mountains,NA,NA,NA,0,5,1,0,Greater Arkansas,"40, 41, 50, 55, 54, 52, 39"
52,Sabine River,NA,NA,NA,0,4,5,0,Lousiana,"39, 51, 54, 53"
53,Lake Charles Coast,Houston,New Orleans,NA,3,0,5,0,Lousiana,"39, 52, 66"
54,Lower Mississippi River Valley,NA,NA,NA,3,0,0,0,Lousiana,"52, 51, 55, 64,  65"
55,Upper Mississippi River Valley,NA,NA,NA,4,0,0,0,Greater Arkansas,"51, 50, 49, 63, 64, 54"
56,Illinois River,Chicago,NA,NA,5,2,1,0,Northern Illinois,"49, 48, 47, 58, 57, 62, 63"
57,Green Bay,Chicago,NA,NA,2,3,0,0,Northern Illinois,"56, 58"
58,Upper Peninsula,NA,NA,NA,0,0,0,0,Michigan,"46, 47, 56, 57, 59"
59,Southern Shore of Lake Ontario,Detroit,NA,NA,2,0,3,0,Michigan,"60, 58"
60,Eastern Shore of Lake Michigan,Detroit,NA,NA,2,2,0,0,Michigan,"61, 59"
61,Tippecanoe,Chicago,Detroit,NA,5,3,0,0,Greater Ohio,"62, 60, 75, 74"
62,Upper Tornado Alley,Chicago,NA,NA,5,2,1,0,Greater Ohio,"56, 63, 73, 74, 61"
63,Wabash River,NA,NA,NA,5,2,4,0,Greater Arkansas,"55, 49, 56, 62, 73, 64"
64,Tennessee River,Nashville,NA,NA,2,1,0,0,Greater Tennessee,"55, 63, 71, 65, 54"
65,Gulf Coastal Plains,NA,NA,NA,0,5,1,0,Deep South,"54, 64, 71, 70, 66"
66,Mobile Bay,New Orleans,NA,NA,0,1,0,0,Deep South,"65, 70, 67, 53"
67,Tampa Bay,NA,NA,NA,2,2,0,0,Florida,"66, 70, 79, 69, 68"
68,Everglades,Miami,NA,NA,1,1,0,0,Florida,"67, 69"
69,Cape Canaveral,Miami,NA,NA,3,1,0,0,Florida,"68, 67, 79"
70,Lower Piedmont,Atlanta,NA,NA,2,5,0,0,Deep South,"66, 67, 79, 80, 71, 65"
71,Appalachian Foothills,Nashville,Atlanta,NA,0,5,0,0,Greater Tennessee,"70, 72, 64, 65"
72,Smoky Mountains,Nashville,Atlanta,NA,0,2,0,1,Greater Tennessee,"71, 80, 82, 78, 77, 73"
73,Bluegrass Country,Cincinnati,Nashville,NA,0,4,0,0,Appalachia,"63, 62,  76, 77, 72"
74,Great Miami River,Cincinnati,NA,NA,4,3,0,0,Greater Ohio,"62, 61, 75, 76"
75,Lake Erie Coast,Detroit,NA,NA,4,2,0,0,Greater Ohio,"61, 74, 76, 87, 89"
76,Ohio River Valley,Cincinnati,NA,NA,0,2,5,0,Eastern Rust Belt,"74, 75, 87, 85, 77, 73"
77,Coal Country,Cincinnati,NA,NA,0,0,5,0,Appalachia,"73, 76, 85, 78, 72"
78,Shenandoahs,NA,NA,NA,0,0,5,1,Appalachia,"77, 85, 84, 82, 72"
79,Sea Islands,NA,NA,NA,0,1,0,0,Deep South,"69, 81, 80, 70, 67"
80,Middle Piedmont,Atlanta,NA,NA,1,2,0,0,Carolinas,"79, 81, 82, 72, 70"
81,Tidewater,NA,NA,NA,1,4,0,0,Carolinas,"79, 80, 82, 83"
82,Upper Piedmont,NA,NA,NA,1,1,0,0,Carolinas,"80, 81, 83, 84, 78, 72"
83,Potomac River Basin,"Washington, D.C.",NA,NA,1,0,0,0,Chesapeake,"81, 82, 84, 86"
84,Roanoke River,"Washington, D.C.",NA,NA,0,1,0,0,Chesapeake,"82, 78, 85, 87, 88, 83"
85,Heart of Appalachia,NA,NA,NA,0,0,5,0,Appalachia,"78, 77, 76, 87, 84"
86,Chesapeake Bay,"Washington, D.C.",Philadelphia,NA,2,5,0,0,Chesapeake,"83, 88"
87,Allegheny Mountains,NA,NA,NA,0,1,3,0,Eastern Rust Belt,"76, 75, 89, 90, 88, 84, 85"
88,Susquehanna River,Philadelphia,NA,NA,2,3,0,0,New York Metro,"84, 87, 90, 86"
89,Lake Ontario Coast,NA,Na,NA,2,2,3,0,Eastern Rust Belt,"75, 87, 90, 91"
90,Catskill Mountains,New York City,NA,NA,0,1,0,0,New York Metro,"88, 87, 89, 91"
91,Adirondack Mountains,NA,NA,NA,0,0,0,2,New York Metro,"89, 90, 93, 94"
92,Narragansett Bay,New York City,Boston,NA,0,1,0,0,New England,93
93,Berkshires,New York City,Boston,NA,0,1,0,0,New England,"91, 92, 94"
94,Green Mountains,Boston,NA,NA,0,1,0,0,New England,"91, 93, 95"
95,Acadia,Boston,NA,NA,0,0,0,0,New England,94
